NGC DESIGNATION,OTHER NAME(S),R.A.   ,DEC.  ,Distance
NGC6811,THE SMOKE RING CLUSTER,19 37.2,+46 23,3960
NGC6819,OCL  155/FOXHEAD NEB          ,19 41.3,+40 11,7695
NGC6826,Blinking Planetary,19 44.8,+50 32,3250
NGC6834,OCL  134          ,19 52.2,+29 24,6740
NGC6866,KITE CLUSTER,20 03.9,+44 09,4730
NGCIC 1310,Berkeley 50,20 10.0,+34 58,6850
NGC6888,THE CRESCENT NEBULA/THE EAR NEBULA,20 12.8,+38 19,5000
NGC6910,THE INCHWORM CLUSTER,20 23.2,+40 47,3720
NGC6913,M29/Cooling Tower Cluster,20 24.1,+38 30,3750
NGC6992,"VEIL NEBULA/THE WITCH BROOM,BRIDALVEIL, ETC",20 56.4,+31 43,1470
NGC6995,"VEIL NEBULA/THE WITCH BROOM,BRIDALVEIL, ETC",20 56.4,+31 43,1470
NGC6960,"VEIL NEBULA/THE WITCH BROOM,BRIDALVEIL, ETC",20 56.4,+31 43,1470
NGC6979,"VEIL NEBULA/THE WITCH BROOM,BRIDALVEIL, ETC",20 56.4,+31 43,1470
NGC7008,COAT BUTTON NEBULA (Fetus Nebula),21 00.5,+54 33,2800
NGC7026,CHEESEBURGER NEBULA,21 06.3,+47 51,7110
NGC7027,PINK PILLOW NEBULA/MAGIC CARPET NEB/green rectangle,21 07.0,+42 14,3000
NGC7044,OCL  198          ,21 13.1,+42 29,10.3000
NGC7063,OCL  192          ,21 24.5,+36 30,2250
NGC7086,OCL  214          ,21 30.5,+51 36,4240
NGC7092,M39,21 31.9,+48 26,1070
NGC6891,PK54-12.1        ,20 15.1,+12 42,7200
NGC6905,BLUE FLASH NEBULA,20 22.4,+20 06,4700
NGC6934,GCL 117           ,20 34.2,+07 24,50000
NGC7006,GCL 119           ,21 01.5,+16 11,160000
NGC5866,M102 FOOL'S GOLD GALAXY/THE SPINDLE,15 06.5,+55 46,50000000
NGC5907,SPLINTER GAL./CAT SCRATCH GAL./KNIFE EDGE GAL.,15 15.9,+56 20,50000000
NGC6015,UGC 10075         ,15 51.4,+62 18,55000000
NGC6140,UGC 10359         ,16 21.0,+65 23,61000000
NGC6503,LOST IN SPACE GALAXY,17 49.5,+70 09,18000000
NGC6543,CATSEYE NEBULA,17 58.6,+66 38,3270
NGC6643,UGC 11218         ,18 19.8,+74 34,72000000
NGC7015,UGC 11674         ,21 05.6,+11 25,202000000
NGC1187,ESO 480-23        ,03 02.6,-22 52,55000000
NGC1232,EYE OF GOD GALAXY,03 09.8,-20 35,65000000
NGC1300,ESO 547-31        ,03 19.7,-19 25,60000000
NGC1332,ESO 548-18        ,03 26.3,-21 20,62000000
NGC1331,IC 324           ,03 26.5,-21 21,48000000
NGC1395,ESO 482-19        ,03 38.5,-23 02,81000000
NGC1400,ESO 548-62        ,03 39.5,-18 41,19000000
NGC1407,ESO 548-67        ,03 40.2,-18 35,94000000
NGC1421,MCG - 2-10-  8    ,03 42.5,-13 29,87000000
NGC1507,UGC 2947         ,04 04.5,-02 11,34000000
NGC1531,ESO 359-26        ,04 12.0,-32 51,50000000
NGC1532,ESO 359-27        ,04 12.1,-32 52,45000000
NGC1535,"CLEOPATRA'S EYE, THE ESKIMO'S WIFE",04 14.3,-12 44,7000
NGC1316,FORNAX A elliptical,03 22.7,-37 12,59000000
NGC1360,COMET PLANETARY,03 33.2,-25 52,1700
NGC1365,ESO 358-17        ,03 33.6,-36 08,59000000
NGC1369,ESO 358-G034      ,03 36.8,-36 15,59000000
NGC1399,ESO 358-45        ,03 38.5,-35 27,60000000
NGC1398,,03 38.9,-26 20,55000000
NGC1404,ESO 358-46        ,03 38.9,-35 36,60000000
NGC2129,OCL  467          ,06 01.1,+23 19,4940
NGC2158,OCL  468          ,06 07.4,+24 06,16.5000
NGC2168,M35,06 09.0,+24 21,2660
NGC2266,OCL  471          ,06 43.3,+26 58,11.1000
NGC2355,2356,07 17.0,+13 45,7200
NGC2371,"THE ANT NEB.,DOUBLE BUBBLE NEB.,PEANUT NEB.,Dogbone Neb.",07 25.6,+29 29,4400
NGC2372,"THE ANT NEB.,DOUBLE BUBBLE NEB.,PEANUT NEB.,Dogbone Neb.",07 25.6,+29 29,4400
NGC2392,PK197+17.1/Clown face Nebula/Eskimo Nebula,07 29.2,+20 55,3000
NGC2420,TWINKLING COMET CLUSTER,07 38.4,+21 34,10000
NGCIC4593,WHITE-EYED PEA NEBULA,16 11.7,+12 04,3400
NGC6205,M13 HERCULES CLUST.(DARK LANES=THE PROPELLOR,16 41.7,+36 28,25.1000
NGC6207,UGC 10521         ,16 43.1,+36 50,63000000
NGC6210,TURTLE NEBULA,16 44.5,+23 48,5650
NGC6341,M92,17 17.1,+43 08,26.7000
NGC2548,M48,08 13.7,-05 45,2510
NGC2610,PK239+13.1       ,08 33.4,-16 09,7220
NGC2815,ESO 497-32        ,09 16.3,-23 38,127000000
NGC3091,ESO 566-41        ,10 00.2,-19 38,191000000
NGC3109,ESO 499-36        ,10 03.1,-26 10,4.3000000
NGC3242,THE GHOST OF JUPITER/The CBS Eye/DIAMOND NEB.,10 24.8,-18 39,3566
NGC3621,FRAME GALAXY,11 18.3,-32 49,22000000
NGC4590,M68,12 39.5,-26 45,33000
NGC5236,"M83 SEASHELL GALAXY, SOUTHERN PINWHEEL",13 37.0,-29 52,15.8000000
NGC7209,THE STAR LIZARD CLUSTER/drunken lizard cluster,22 05.1,+46 29,3810
NGCIC1434,Collinder 445            ,22 10.5,+52 50,9895
NGC7243,OCL  221          ,22 15.1,+49 54,2640
NGC7245,OCL  225          ,22 15.3,+54 20,6870
NGC2903,UGC 5079         ,09 32.2,+21 30,30000000
NGC3226,UGC 5617         ,10 23.4,+19 54,66000000
NGC3227,UGC 5620         ,10 23.5,+19 52,65000000
NGC3351,M95,10 44.0,+11 42,33000000
NGC3368,M96,10 46.8,+11 49,34000000
NGC3379,M105,10 47.8,+12 35,36000000
NGC3384,3371,10 48.3,+12 38,37000000
NGC3373,3389,10 48.5,+12 32,74000000
NGC3507,UGC 6123         ,11 03.4,+18 08,59000000
NGC3521,UGC 6150         ,11 05.8,-00 02,25000000
NGC3623,M65/The Trio in Leo,11 18.9,+13 05,25000000
NGC3627,M66/The Trio in Leo,11 20.2,+13 00,34000000
NGC3628,"KING HAMLET'S GHOST/The Trio in Leo,HOTDOG GAL",11 20.3,+13 35,25000000
NGC1904,M79,05 24.2,-24 31,41000
NGCIC418,"SPIROGRAPH NEBULA, RASPBERRY NEBULA",05 27.5,-12 42,3600
NGC1964,ESO 554-10        ,05 33.4,-21 57,76000000
NGC5897,GHOST GLOBULAR,15 17.4,-21 01,41000
NGC3003,UGC 5251         ,09 48.6,+33 25,77000000
NGC3344,SLICED ONION GALAXY,10 43.5,+24 55,20000000
NGC3432,THE KNITTING NEEDLE GALAXY,10 52.5,+36 37,39000000
NGC5986,Dunlop 552        ,15 46.1,-37 47,36.5000
NGC2419,THE INTERGALACTIC WANDERER         ,07 38.1,+38 53,300000
NGC2537,Bear Paw Galaxy,08 13.2,+45 59,26000000
NGC2683,UFO GALAXY,08 52.7,+33 25,30000000
NGC6720,M57 RING NEBULA,18 53.6,+33 02,2300
NGC6779,M56,19 16.6,+30 11,32.9000
NGC6791,OCL  142          ,19 20.9,+37 46,13.4000
NGC2225,2226=ctr of cluster,06 26.6,-09 38,10.4000
NGC2236,OCL  501          ,06 29.7,+06 50,9550
NGC2237,The Rosette Nebula,06 31.9,+04 57,5500
NGC2238,The Rosette Nebula,06 31.9,+04 57,5500
NGC2239,The Rosette Nebula,06 31.9,+04 57,5500
